#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.303741E-04   0.152295E+08   0.152295E+08   0.202404E+08   0.202403E+08   0.000000E+00   0.152295E+08   0.152295E+08   0.152384E+08  -0.545851E+00   0.116186E+08   0.116186E+08   0.251063E-01
   0.309877E-04   0.152295E+08   0.152295E+08   0.202377E+08   0.202376E+08   0.000000E+00   0.152295E+08   0.152295E+08   0.152384E+08  -0.545850E+00   0.116186E+08   0.116186E+08   0.256133E-01
   0.316137E-04   0.152295E+08   0.152295E+08   0.202350E+08   0.202348E+08   0.000000E+00   0.152295E+08   0.152295E+08   0.152384E+08  -0.545850E+00   0.116186E+08   0.116186E+08   0.261306E-01
   0.322523E-04   0.152295E+08   0.152295E+08   0.202320E+08   0.202319E+08   0.000000E+00   0.152295E+08   0.152295E+08   0.152384E+08  -0.545850E+00   0.116186E+08   0.116186E+08   0.266582E-01
   0.329038E-04   0.152295E+08   0.152295E+08   0.202290E+08   0.202289E+08   0.000000E+00   0.152295E+08   0.152295E+08   0.152383E+08  -0.545849E+00   0.116186E+08   0.116186E+08   0.271966E-01
   0.335685E-04   0.152295E+08   0.152295E+08   0.202259E+08   0.202257E+08   0.000000E+00   0.152295E+08   0.152295E+08   0.152383E+08  -0.545849E+00   0.116186E+08   0.116186E+08   0.277457E-01
   0.342467E-04   0.152295E+08   0.152295E+08   0.202226E+08   0.202224E+08   0.000000E+00   0.152295E+08   0.152295E+08   0.152383E+08  -0.545849E+00   0.116186E+08   0.116186E+08   0.283060E-01
   0.349385E-04   0.152294E+08   0.152294E+08   0.202192E+08   0.202190E+08   0.000000E+00   0.152294E+08   0.152294E+08   0.152383E+08  -0.545848E+00   0.116186E+08   0.116186E+08   0.288776E-01
   0.356443E-04   0.152294E+08   0.152294E+08   0.202157E+08   0.202155E+08   0.000000E+00   0.152294E+08   0.152294E+08   0.152383E+08  -0.545848E+00   0.116186E+08   0.116186E+08   0.294606E-01
   0.363643E-04   0.152294E+08   0.152294E+08   0.202120E+08   0.202118E+08   0.000000E+00   0.152294E+08   0.152294E+08   0.152383E+08  -0.545847E+00   0.116186E+08   0.116186E+08   0.300555E-01
   0.370990E-04   0.152294E+08   0.152294E+08   0.202081E+08   0.202079E+08   0.000000E+00   0.152294E+08   0.152294E+08   0.152383E+08  -0.545847E+00   0.116185E+08   0.116185E+08   0.306624E-01
