#           k/h    P           
    0.29390E+01    0.34460E+00
    0.29984E+01    0.32789E+00
    0.30590E+01    0.31196E+00
    0.31208E+01    0.29680E+00
    0.31838E+01    0.28235E+00
    0.32481E+01    0.26860E+00
    0.33137E+01    0.25550E+00
    0.33807E+01    0.24303E+00
    0.34490E+01    0.23116E+00
    0.35187E+01    0.21985E+00
    0.35897E+01    0.20909E+00
    0.36623E+01    0.19884E+00
    0.37362E+01    0.18909E+00
    0.38117E+01    0.17980E+00
    0.38887E+01    0.17097E+00
    0.39673E+01    0.16256E+00
    0.40474E+01    0.15456E+00
    0.41292E+01    0.14694E+00
    0.42126E+01    0.13969E+00
    0.42977E+01    0.13279E+00
    0.43845E+01    0.12623E+00
    0.44731E+01    0.11999E+00
    0.45634E+01    0.11405E+00
    0.46556E+01    0.10840E+00
    0.47497E+01    0.10303E+00
    0.48456E+01    0.97913E-01
    0.49435E+01    0.93050E-01
    0.50434E+01    0.88424E-01
    0.51453E+01    0.84025E-01
    0.52492E+01    0.79841E-01
    0.53553E+01    0.75863E-01
    0.54634E+01    0.72079E-01
    0.55738E+01    0.68482E-01
    0.56864E+01    0.65061E-01
    0.58013E+01    0.61808E-01
    0.59185E+01    0.58716E-01
    0.60380E+01    0.55776E-01
    0.61600E+01    0.52981E-01
    0.62844E+01    0.50324E-01
    0.64114E+01    0.47799E-01
    0.65409E+01    0.45398E-01
    0.66731E+01    0.43117E-01
    0.68079E+01    0.40948E-01
    0.69454E+01    0.38887E-01
    0.70857E+01    0.36928E-01
    0.72288E+01    0.35067E-01
    0.73749E+01    0.33298E-01
    0.75238E+01    0.31617E-01
    0.76758E+01    0.30020E-01
    0.78309E+01    0.28503E-01
    0.79891E+01    0.27061E-01
    0.81505E+01    0.25691E-01
    0.83151E+01    0.24390E-01
    0.84831E+01    0.23154E-01
    0.86545E+01    0.21979E-01
    0.88293E+01    0.20864E-01
    0.90077E+01    0.19804E-01
    0.91896E+01    0.18798E-01
    0.93753E+01    0.17842E-01
    0.95647E+01    0.16934E-01
    0.97579E+01    0.16072E-01
    0.99550E+01    0.15253E-01
    0.10156E+02    0.14475E-01
    0.10361E+02    0.13737E-01
    0.10571E+02    0.13036E-01
    0.10784E+02    0.12370E-01
    0.11002E+02    0.11738E-01
    0.11224E+02    0.11137E-01
    0.11451E+02    0.10567E-01
    0.11682E+02    0.10026E-01
    0.11918E+02    0.95127E-02
    0.12159E+02    0.90250E-02
    0.12405E+02    0.85621E-02
    0.12655E+02    0.81227E-02
    0.12911E+02    0.77056E-02
    0.13172E+02    0.73097E-02
    0.13438E+02    0.69339E-02
    0.13709E+02    0.65772E-02
    0.13986E+02    0.62387E-02
    0.14269E+02    0.59175E-02
    0.14557E+02    0.56126E-02
    0.14851E+02    0.53232E-02
    0.15151E+02    0.50487E-02
    0.15457E+02    0.47881E-02
    0.15769E+02    0.45409E-02
    0.16088E+02    0.43063E-02
    0.16413E+02    0.40837E-02
    0.16745E+02    0.38725E-02
    0.17083E+02    0.36721E-02
    0.17428E+02    0.34820E-02
    0.17780E+02    0.33016E-02
    0.18139E+02    0.31305E-02
    0.18506E+02    0.29682E-02
    0.18880E+02    0.28142E-02
    0.19261E+02    0.26681E-02
    0.19650E+02    0.25296E-02
    0.20047E+02    0.23981E-02
    0.20452E+02    0.22735E-02
    0.20865E+02    0.21552E-02
    0.21287E+02    0.20431E-02
    0.21717E+02    0.19367E-02
    0.22155E+02    0.18359E-02
    0.22603E+02    0.17402E-02
    0.23059E+02    0.16495E-02
    0.23525E+02    0.15634E-02
    0.24001E+02    0.14818E-02
    0.24485E+02    0.14045E-02
    0.24980E+02    0.13311E-02
    0.25485E+02    0.12616E-02
    0.26000E+02    0.11956E-02
    0.26525E+02    0.11331E-02
    0.27061E+02    0.10738E-02
